DateRep;Cases;cum-Cases;Deaths;cum-Deaths
2020-04-05;1.0;1.0;0.0;0.0
2020-04-06;3.0;4.0;0.0;0.0
2020-04-07;0.0;4.0;0.0;0.0
2020-04-08;0.0;4.0;0.0;0.0
2020-04-09;1.0;5.0;0.0;0.0
2020-04-10;1.0;6.0;0.0;0.0
2020-04-11;0.0;6.0;0.0;0.0
2020-04-12;0.0;6.0;0.0;0.0
2020-04-13;1.0;7.0;0.0;0.0
2020-04-14;0.0;7.0;0.0;0.0
2020-04-15;0.0;7.0;0.0;0.0
2020-04-16;0.0;7.0;0.0;0.0
2020-04-17;2.0;9.0;0.0;0.0
2020-04-18;1.0;10.0;0.0;0.0
2020-04-19;1.0;11.0;0.0;0.0
2020-04-20;0.0;11.0;0.0;0.0
2020-04-21;0.0;11.0;0.0;0.0
2020-04-22;2.0;13.0;0.0;0.0
2020-04-23;0.0;13.0;0.0;0.0
2020-04-24;0.0;13.0;0.0;0.0
2020-04-25;0.0;13.0;0.0;0.0
2020-04-26;0.0;13.0;1.0;1.0
2020-04-27;1.0;14.0;0.0;1.0
