DateRep;Cases;cum-Cases;Deaths;cum-Deaths
2020-04-06;1.0;1.0;0.0;0.0
2020-04-07;0.0;1.0;0.0;0.0
2020-04-08;0.0;1.0;0.0;0.0
2020-04-09;1.0;2.0;0.0;0.0
2020-04-10;0.0;2.0;1.0;1.0
2020-04-11;0.0;2.0;0.0;1.0
2020-04-12;1.0;3.0;0.0;1.0
2020-04-13;1.0;4.0;0.0;1.0
2020-04-14;2.0;6.0;0.0;1.0
2020-04-15;0.0;6.0;0.0;1.0
2020-04-16;3.0;9.0;0.0;1.0
2020-04-17;0.0;9.0;0.0;1.0
2020-04-18;2.0;11.0;0.0;1.0
2020-04-19;0.0;11.0;0.0;1.0
2020-04-20;5.0;16.0;0.0;1.0
2020-04-21;1.0;17.0;0.0;1.0
2020-04-22;4.0;21.0;0.0;1.0
2020-04-23;3.0;24.0;0.0;1.0
2020-04-24;1.0;25.0;0.0;1.0
2020-04-25;0.0;25.0;1.0;2.0
2020-04-26;0.0;25.0;0.0;2.0
2020-04-27;1.0;26.0;0.0;2.0
