DateRep;Cases;cum-Cases;Deaths;cum-Deaths
2020-03-25;1.0;1.0;0.0;0.0
2020-03-26;0.0;1.0;0.0;0.0
2020-03-27;0.0;1.0;0.0;0.0
2020-03-28;0.0;1.0;0.0;0.0
2020-03-29;0.0;1.0;1.0;1.0
2020-03-30;0.0;1.0;0.0;1.0
2020-03-31;0.0;1.0;0.0;1.0
2020-04-01;0.0;1.0;0.0;1.0
2020-04-02;0.0;1.0;0.0;1.0
2020-04-03;0.0;1.0;0.0;1.0
2020-04-04;1.0;2.0;0.0;1.0
2020-04-05;0.0;2.0;0.0;1.0
2020-04-06;1.0;3.0;0.0;1.0
2020-04-07;0.0;3.0;1.0;2.0
2020-04-08;1.0;4.0;0.0;2.0
2020-04-09;1.0;5.0;1.0;3.0
2020-04-10;0.0;5.0;0.0;3.0
2020-04-11;0.0;5.0;0.0;3.0
2020-04-12;0.0;5.0;0.0;3.0
2020-04-13;0.0;5.0;0.0;3.0
2020-04-14;1.0;6.0;0.0;3.0
2020-04-15;0.0;6.0;0.0;3.0
2020-04-16;4.0;10.0;0.0;3.0
2020-04-17;3.0;13.0;0.0;3.0
2020-04-18;3.0;16.0;0.0;3.0
2020-04-19;0.0;16.0;0.0;3.0
2020-04-20;2.0;18.0;0.0;3.0
2020-04-21;1.0;19.0;0.0;3.0
2020-04-22;2.0;21.0;0.0;3.0
2020-04-23;1.0;22.0;1.0;4.0
2020-04-24;3.0;25.0;1.0;5.0
2020-04-25;0.0;25.0;1.0;6.0
2020-04-26;0.0;25.0;0.0;6.0
2020-04-27;3.0;28.0;0.0;6.0
2020-04-28;1.0;29.0;0.0;6.0
