DateRep;Cases;cum-Cases;Deaths;cum-Deaths
2020-03-27;1.0;1.0;0.0;0.0
2020-03-28;0.0;1.0;0.0;0.0
2020-03-29;0.0;1.0;0.0;0.0
2020-03-30;0.0;1.0;0.0;0.0
2020-03-31;0.0;1.0;0.0;0.0
2020-04-01;0.0;1.0;0.0;0.0
2020-04-02;0.0;1.0;0.0;0.0
2020-04-03;0.0;1.0;0.0;0.0
2020-04-04;1.0;2.0;0.0;0.0
2020-04-05;0.0;2.0;0.0;0.0
2020-04-06;0.0;2.0;0.0;0.0
2020-04-07;1.0;3.0;0.0;0.0
2020-04-08;0.0;3.0;0.0;0.0
2020-04-09;0.0;3.0;0.0;0.0
2020-04-10;0.0;3.0;0.0;0.0
2020-04-11;0.0;3.0;0.0;0.0
2020-04-12;0.0;3.0;0.0;0.0
2020-04-13;1.0;4.0;1.0;1.0
2020-04-14;1.0;5.0;0.0;1.0
2020-04-15;0.0;5.0;0.0;1.0
2020-04-16;0.0;5.0;1.0;2.0
2020-04-17;1.0;6.0;0.0;2.0
2020-04-18;0.0;6.0;0.0;2.0
2020-04-19;1.0;7.0;0.0;2.0
2020-04-20;1.0;8.0;0.0;2.0
2020-04-21;0.0;8.0;0.0;2.0
2020-04-22;0.0;8.0;0.0;2.0
2020-04-23;3.0;11.0;0.0;2.0
2020-04-24;3.0;14.0;0.0;2.0
